OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_DISTRI,TIPO_DISTR,CODIGO_C17,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Area,Shape__Length,SUPERFICIE__KM2_,Densidad
80,7,REGIÓN DEL MAULE,74,LINARES,7402,COLBÚN,5,RURAL,740205,188,155,343,0,0,0,188,155,343,0,212,212,0.65368547,154214464.25,75442.76250628,101.10121918,3.3926394
81,10,REGIÓN DE LOS LAGOS,102,CHILOÉ,10209,QUEMCHI,4,RURAL,1020904,207,147,354,0,0,0,207,147,354,0,175,175,0.36308217,60151374.3945312,44529.00666671,32.98607635,10.73180103
82,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6302,CHÉPICA,4,RURAL,630204,186,177,363,0,0,0,186,177,363,0,157,157,0.82685971,329566713.990234,100479.99263329,221.64350891,1.63776517
83,13,REGIÓN METROPOLITANA DE SANTIAGO,135,MELIPILLA,13504,MARÍA PINTO,5,RURAL,1350405,181,183,364,0,0,0,181,183,364,0,143,143,0.28286533,57041301.1171875,33211.42929494,39.58276367,9.1959219
84,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,63,COLCHAGUA,6301,SAN FERNANDO,10,RURAL,630110,237,142,379,0,0,0,237,142,379,0,467,467,2.06293299,2161188817.875,247798.791492,1452.59277344,0.26091278
85,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6108,MACHALÍ,7,MIXTO,610807,190,128,318,40,26,66,230,154,384,48,223,271,2.09346659,1664904436.33203,249890.29439188,1128.48242188,0.34028
86,7,REGIÓN DEL MAULE,71,TALCA,7105,MAULE,3,RURAL,710503,215,174,389,0,0,0,215,174,389,0,222,222,0.42158055,89821394.7285156,50537.17297178,59.48261642,6.53972578
87,7,REGIÓN DEL MAULE,73,CURICÓ,7301,CURICÓ,14,RURAL,730114,230,162,392,0,0,0,230,162,392,0,187,187,1.01463317,291815876.357422,120171.4697332,194.48701477,2.01555872
88,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,13,RURAL,720113,225,170,395,0,0,0,225,170,395,0,285,285,1.02133134,330610259.398438,123603.83393503,215.41436768,1.83367527
89,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,62,CARDENAL CARO,6203,LITUECHE,2,RURAL,620302,227,179,406,0,0,0,227,179,406,0,315,315,0.6714646,216170060.683594,78750.86680165,148.32444763,2.7372427
90,7,REGIÓN DEL MAULE,74,LINARES,7403,LONGAVÍ,8,RURAL,740308,216,194,410,0,0,0,216,194,410,0,183,183,0.57468087,205390057.972656,69670.47113327,133.9927063,3.05986786
91,7,REGIÓN DEL MAULE,72,CAUQUENES,7201,CAUQUENES,14,RURAL,720114,226,184,410,0,0,0,226,184,410,0,296,296,0.78764746,233037384.654297,93344.1143617,151.99925232,2.69738173
92,7,REGIÓN DEL MAULE,72,CAUQUENES,7202,CHANCO,4,RURAL,720204,231,200,431,0,0,0,231,200,431,0,155,155,0.57871389,132444743.996094,68998.40443515,87.338974,4.93479586
93,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6115,RENGO,3,RURAL,611503,223,209,432,0,0,0,223,209,432,0,155,155,0.19935423,22543336.3515625,23757.78428675,15.24799442,28.33159447
94,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13119,MAIPÚ,4,URBANO,1311904,0,0,0,227,213,440,227,213,440,157,0,157,0.07170763,1552688.50976563,8389.00012493,1.03855813,423.66430664
95,7,REGIÓN DEL MAULE,74,LINARES,7406,SAN JAVIER,13,RURAL,740613,242,200,442,0,0,0,242,200,442,0,232,232,0.63001601,199742149.708984,76257.62222653,131.85612488,3.35213876
96,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,11,RURAL,710311,228,215,443,0,0,0,228,215,443,0,237,237,0.61113433,191915679.0625,73763.38579309,128.40100098,3.45012903
97,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,8,RURAL,710308,242,204,446,0,0,0,242,204,446,0,229,229,0.41520943,97440420.0898438,49173.67850149,65.0390625,6.85741711
98,7,REGIÓN DEL MAULE,71,TALCA,7102,CONSTITUCIÓN,5,RURAL,710205,256,201,457,0,0,0,256,201,457,0,306,306,1.40847205,601549035.146484,168251.61635322,399.85168457,1.14292371
99,7,REGIÓN DEL MAULE,71,TALCA,7101,TALCA,9,MIXTO,710109,150,129,279,94,85,179,244,214,458,59,115,174,0.41326534,49235288.6425781,50768.41818278,32.60835266,14.04548073
100,6,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,61,CACHAPOAL,6110,MOSTAZAL,1,RURAL,611001,233,225,458,0,0,0,233,225,458,0,164,164,0.4196763,104050175.701172,50387.81250187,71.35486603,6.41862345
101,7,REGIÓN DEL MAULE,71,TALCA,7103,CUREPTO,6,RURAL,710306,216,243,459,0,0,0,216,243,459,0,251,251,0.36001561,75924647.0917969,42802.69406623,50.4657135,9.09528446
102,7,REGIÓN DEL MAULE,73,CURICÓ,7302,HUALAÑÉ,2,RURAL,730202,245,217,462,0,0,0,245,217,462,0,268,268,0.68492644,275160490.912109,82374.99320709,184.82138062,2.4997108
